BRAND;DAY;HOUR;LOCATION;INSTAGRAM;NOTE;TWITTER
GILBERTO CALZOLARI;19-feb;09:30;VIA DELLA LIBERAZIONE ANG. VIA MELCHIORRE GIOIA;gilbertocalzolari_official;;GilCalzolari
MARCO RAMBALDI ;19-feb;10:30;VIA TURATI, 34;marcorambaldi_;;
CALCATERRA;19-feb;11:30;VIA SAN GREGORIO, 29;calcaterrad;;
ULTRÀCHIC;19-feb;12:30;PIAZZA DUOMO - SCALONE ARENGARIO;ultrachic_official;;ultrachicmilano
ARTHUR ARBESSER;19-feb;14:00;VIA GAUDENZIO FANTOLI, 15/1I;arthurarbesser;fuori dalla circonvallazione;
GUCCI;19-feb;15:00;VIA MECENATE, 77;gucci;fuori dalla circonvallazione;gucci
ALBERTA FERRETTI;19-feb;16:00;VIA MECENATE 88/A;albertaferretti;fuori dalla circonvallazione;albertaferretti
N°21;19-feb;17:00;VIA ARCHIMEDE, 26;numeroventuno;;NUMEROVENTUNO
JIL SANDER;19-feb;18:00;VIA BRAMANTE,42;jilsander;;jilsanderPR
MONCLER;19-feb;19:00;VIALE MOLISE,70;moncler;fuori dalla circonvallazione;moncler
MAX MARA;20-feb;09:30;VIA SENATO, 10;maxmara;;maxmara
GENNY;20-feb;10:30;PIAZZA DUOMO - SCALONE ARENGARIO;gennyofficial;;
LUISA BECCARIA;20-feb;11:30;VIA PALESTRO, 16;luisabeccaria;;luisabeccaria
BROGNANO;20-feb;12:30;VIA SAN BARNABA, 48;brognano_official;;
ANTEPRIMA;20-feb;13:30;VIA TURATI, 34;anteprimaofficial;;ANTEPRIMA_WORLD
VIVETTA;20-feb;14:30;PIAZZA DUOMO - SCALONE ARENGARIO;vivetta;;VivettaVivetta
DANIELA GREGIS;20-feb;15:30;PIAZZA SANT'AMBROGIO, 23/A;?;;
PRADA;20-feb;16:00;VIA LORENZINI, 14;prada;fuori dalla circonvallazione;Prada
ACT N°1;20-feb;17:30;VIA TORTONA, 32;act_n1;;
FENDI;20-feb;18:30;VIA SOLARI, 35;fendi;;Fendi
MOSCHINO;20-feb;20:30;VIA SAN LUCA, 3;moschino;;Moschino
TOD'S;21-feb;09:30;VIA SAVONA, 56;tods;;
EMPORIO ARMANI;21-feb;10:30;VIA BERGOGNONE, 59;emporioarmani;;emporioarmani
ANTONIO MARRAS;21-feb;11:30;VIA COLA DI RIENZO, 8;antoniomarrasofficial;;
SPORTMAX;21-feb;12:30;VIA SENATO, 10;sportmax;;sportmax
ETRO;21-feb;14:00;VIA CONSERVATORIO, 12;etro;;EtroOfficial
MARNI;21-feb;15:00;VIA VENTURA, 14;marni;fuori dalla circonvallazione;marniofficial
ICEBERG;21-feb;16:00;VIA ARCHIMEDE, 26;iceberg;;
MARCO DE VINCENZO;21-feb;17:00;PIAZZA DUOMO - SCALONE ARENGARIO;marcodevincenzo;;
VERSACE;21-feb;18:00;PIAZZA LINA BO BARDI, 1;versace;;Versace
FRANKIE MORELLO MILANO;21-feb;19:00;VIA SAN GREGORIO, 29;frankiemorello;;frankiemorello
CRISTIANO BURANI;21-feb;20:00;VIA TURATI, 34;cristianoburani;;
SALVATORE FERRAGAMO;22-feb;09:30;VIA E.BESANA, 12;ferragamo;;Ferragamo
GABRIELE COLANGELO;22-feb;10:30;PIAZZA DUOMO - SCALONE ARENGARIO;gabriele.colangelo;;
MSGM;22-feb;11:30;VIA CALABIANA, 6;msgm;fuori dalla circonvallazione;msgm_
AGNONA;22-feb;12:30;VIA VIGEVANO, 18;agnonaofficial;;agnonaofficial
ERMANNO SCERVINO;22-feb;13:30;VIA SENATO, 10;ermannoscervino;;ermannoscervino
PHILOSOPHY DI LORENZO SERAFINI;22-feb;15:00;VIA SAN PAOLO, 10;philosophyofficial;;
CIVIDINI;22-feb;16:00;PIAZZA DUOMO - SCALONE ARENGARIO;itscividini;;AnitaCividini
BOTTEGA VENETA;22-feb;17:00;VIA PIRANESI, 14;bottegaveneta;fuori dalla circonvallazione;BottegaVeneta
ANNAKIKI;22-feb;18:00;VIA DELL'APRICA, 12;annakikiofficial;;ANNAKIKIWORLD
MISSONI;22-feb;19:00;VIA CERESIO, 7;missoni;;Missoni
GCDS;22-feb;20:00;STAZIONE CENTRALE - GALLERIA DELLE CARROZZE;gcdswear;;GCDSwear
PHILIPP PLEIN;22-feb;21:00;VIA L. SCARAMPO - GATE 6;philippplein;fuori dallo screen;philipp_plein
PORTS 1961;23-feb;09:30;VIA PALERMO, 10;ports1961;;
DROME;23-feb;10:30;VIA TURATI, 34;drome_official;;
BOSS;23-feb;11:30;VIA G. LORENZINI 3/A;boss;fuori dalla circonvallazione;HUGOBOSS
LAURA BIAGIOTTI;23-feb;12:30;VIA RIVOLI, 6;laurabiagiottiofficial;;Lbofficialpage
FILA;23-feb;13:15;VIA VALTELLINA, 7;filaeurope;;FILAUSA                       fila_korea
VÌEN;23-feb;15:00;PIAZZA DUOMO - SCALONE ARENGARIO;vien_atelier;;
GIORGIO ARMANI;23-feb;16:00;VIA BERGOGNONE, 59;giorgioarmani;;armani
SIMONA MARZIALI - MRZ;23-feb;18:00;VIA TURATI, 34;mrz.official;;
ATSUSHI NAKASHIMA;24-feb;09:30;PIAZZA DUOMO - SCALONE ARENGARIO;atsushi.nakashima;;atsu_nakashima
ALEXANDRA MOURA;24-feb;10:30;PIAZZA DUOMO - SCALONE ARENGARIO;alexandra.moura;;alexandramoura
;;;;;;
;;;;;;
