Num;Brand;Day;Hour;Location;Instagram;Twitter
1;MONSE ;07-feb;6:00 PM;30 Wall Street;monsemaison;
2;TOM FORD;07-feb;;Los Angeles;tomford;TOMFORD
3;RAG & BONE ;07-feb;7:00 PM;Skylight Vesey;ragandbone;rag_bone
4;PRISCAVERA;07-feb;9:00 PM;;priscavera;
5;BRANDON MAXWELL ;08-feb;8:00 PM;American Museum of Natural History ;brandonmaxwell;Brandonmaxwell
6;BADGLEY MISCHKA;08-feb;10:00 AM;Spring Studios;badgleymischka;BadgleyMischka
7;CLAUDIA LI ;08-feb;11:00 AM;Spring Studios;claudialiofficial;
8;PRIVATE POLICY ;08-feb;2:00 PM;Spring Studios;privatepolicyny;
9;CHRISTOPHER JOHN ROGERS ;08-feb;5:00 PM;Spring Studios;christopherjohnrogers;
10;SNOW XUE GAO ;08-feb;by appointment;;snowxuegao;snowxuegao
11;TIBI ;08-feb;by appointment;;tibi;tibi
12;ADAM LIPPES ;08-feb;9:00 AM;;adamlippes;AdamLippes
13;SELF-PORTRAIT;08-feb;10:00 AM;;mrselfportrait;_selfportrait_
14;ULLA JOHNSON ;08-feb;12:00 PM;;ullajohnson;
15;LONGCHAMP;08-feb;1:00 PM;;longchamp;Longchamp
16;REBECCA MINKOFF;08-feb;2:00 PM-4:00 PM;;rebeccaminkoff;RebeccaMinkoff
17;HELLESSY;08-feb;4:00 PM;;hellessy;hellessyny
18;R13;08-feb;6:00 PM;;r13;R13Denim
19;SANDY LIANG ;08-feb;7:00 PM;;sandyliang;
20;LAQUAN SMITH ;08-feb;9:00 PM;;laquan_smith;LaQuanSmith
21;AREA;09-feb;11:00 AM;Museum for African Art;area;area_nyc_
22;TORY BURCH ;09-feb;10:00 AM;Sotheby’s;toryburch;toryburch
23;BROCK COLLECTION ;09-feb;1:00 PM;Spring Studios;brockcollection;BROCKCOLLECTION
24;NICOLE MILLER  ;09-feb;4:00 PM;Spring Studios;nicolemillernyc;
25;DENNIS BASSO;09-feb;5:00 PM;Spring Studios;dennisbassonyc;DennisBasso
26;GRAHAM TYLER ;09-feb;by appointment;;graham.tyler;
27;JEFFREY DODD ;09-feb;11:00 AM;;jeffreydodd;
28;JONATHAN COHEN ;09-feb;12:00 PM;;jonathancohenstudio;jonathancohenstudio
29;SIES MARJAN ;09-feb;3:00 PM;;siesmarjan;SiesMarjan
30;ROMEO HUNTE;09-feb;4:00 PM;;romeohunte;ROMEOHUNTE
31;COLLINA STRADA  ;09-feb;5:00 PM;;collinastrada;
32;JASON WU COLLECTION ;09-feb;6:00 PM;;jasonwu;JasonWu
33;CHROMAT;09-feb;7:00 PM-09:00 PM;;chromat;CHROMAT_PARTY
34;KIM SHUI ;09-feb;8:00 PM;;kimshuistudio;kimshuistudio
35;PALM ANGELS ;09-feb;9:00 PM;;palmangels;
36;PROENZA SCHOULER ;10-feb;8:00 PM;Chelsea;proenzaschouler;proenzaschouler
37;ALICE + OLIVIA;10-feb;1:00 PM-3:00 PM  ;Highline Stages;aliceandolivia;aliceandolivia
38;ANNA SUI;10-feb;5:00 PM;Spring Studios;annasui;annasui
39;KATE SPADE NEW YORK ;10-feb;by appointment ;;katespadeny;katespadeny
40;THE ROW;10-feb;9:00 AM;;therow;THEROW
41;CAROLINA HERRERA ;10-feb;10:00 AM;;carolinaherrera;HouseofHerrera
42;JONATHAN SIMKHAI ;10-feb;11:00 AM;;jonathansimkhai;JonathanSimkhai
43;ZIMMERMANN;10-feb;12:00 PM;;zimmermann;ZIMMERMANN_
44;LELA ROSE;10-feb;1:00 PM-2:00 PM  ;;lelarose;Lela_Rose
45;DION LEE;10-feb;3:00 PM;;dionlee;
46;LIBERTINE;10-feb;4:00 PM;;officiallibertine;officiallibertine
47; VERONICA BEARD ;10-feb;4:00 PM;;veronicabeard;veronicabeard
48;HELMUT LANG;10-feb;6:00 PM-7:00 PM  ;;helmutlang;HELMUTLANG
49;OSCAR DE LA RENTA ;10-feb;9:00 PM;;oscardelarenta;OscardelaRenta
50;SALLY LAPOINTE ;11-feb;10:00 AM;Spring Studios;sally_lapointe;sally_lapointe
51;VERA WANG ;11-feb;11:00 AM;Spring Studios;verawanggang;VeraWang
52;BIBHU MOHAPATRA ;11-feb;3:00 PM;Spring Studios;bibhumohapatra;BibhuMohapatra
53;CYNTHIA ROWLEY ;11-feb;4:00 PM;Spring Studios;cynthiarowley;Cynthia_Rowley
54;CHRISTIAN COWAN ;11-feb;9:00 PM;Spring Studios;christiancowan;christiancowan
55;KHAITE;11-feb;9:00 AM;;khaite_ny;khaite_ny
56;GABRIELA HEARST ;11-feb;12:00 PM;;gabrielahearst;gabrielahearst
57;COACH 1941;11-feb;2:00 PM;;coach;Coach
58;NAEEM KHAN ;11-feb;5:00 PM;;naeemkhannyc;NAEEMKHANNYC
59;RODARTE;11-feb;6:00 PM;;rodarte;OfficialRodarte
60;PRABAL GURUNG ;11-feb;7:00 PM;;prabalgurung;prabalgurung
61;ECKHAUS LATTA ;11-feb;8:00 PM;;eckhaus_latta;ECKHAUS_LATTA
62;ALIETTE;12-feb;11:00 AM;Spring Studios;alietteny;
63;ALEJANDRA ALONSO ROJAS ;12-feb;2:00 PM;Spring Studios;alejandraalonsorojas;
64;SUKEINA;12-feb;4:00 PM;Spring Studios;s.u.k.e.i.n.a.;
65;FE NOEL ;12-feb;5:00 PM;Spring Studios;fenoel;fenoelofficial
66;MARCHESA;12-feb;by appointment  ;;marchesafashion;MarchesaFashion
67;MICHAEL KORS ;12-feb;10:00 AM;;michaelkors;MichaelKors
68;MARINA MOSCONE ;12-feb;11:00 AM;;marinamoscone;
69;THEORY;12-feb;3:00 PM-5:00 PM  ;;theory__;Theory__
70;MARC JACOBS ;12-feb;6:00 PM;;marcjacobs;marcjacobs
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
