brand,count,lang,fw
prada,55056,english,mfw
coach,50121,english,nyfw
michaelkors,27175,english,nyfw
gucci,12859,english,mfw
versace,5823,english,mfw
moncler,5026,english,mfw
moschino,4480,english,mfw
marcjacobs,4244,english,nyfw
toryburch,4097,english,nyfw
fendi,3701,english,mfw
armani,3140,english,nyfw
prabalgurung,2839,english,nyfw
missoni,1008,english,mfw
badgleymischka,994,english,nyfw
tomford,941,english,nyfw
aliceandolivia,939,english,nyfw
rebeccaminkoff,812,english,nyfw
annasui,775,english,nyfw
longchamp,741,english,nyfw
bottegaveneta,674,english,mfw
oscardelarenta,674,english,nyfw
jasonwu,610,english,nyfw
hugoboss,600,english,mfw
emporioarmani,540,english,mfw
ferragamo,526,english,mfw
maxmara,485,english,mfw
verawang,479,english,nyfw
jonathansimkhai,456,english,nyfw
brandonmaxwell,393,english,nyfw
laquansmith,287,english,nyfw
helmutlang,281,english,nyfw
houseofherrera,279,english,nyfw
veronicabeard,258,english,nyfw
albertaferretti,242,english,mfw
officialrodarte,225,english,nyfw
therow,222,english,nyfw
siesmarjan,193,english,nyfw
proenzaschouler,177,english,nyfw
christiancowan,164,english,nyfw
sportmax,150,english,mfw
dennisbasso,127,english,nyfw
bibhumohapatra,126,english,nyfw
tibi,119,english,nyfw
etroofficial,115,english,mfw
gucci,160,french,mfw
moncler,157,french,mfw
prada,132,french,mfw
armani,124,french,nyfw
versace,107,french,mfw
coach,107,french,nyfw
longchamp,69,french,nyfw
ferragamo,50,french,mfw
fendi,46,french,mfw
marcjacobs,33,french,nyfw
moschino,29,french,mfw
oscardelarenta,23,french,nyfw
helmutlang,15,french,nyfw
maxmara,11,french,mfw
etroofficial,6,french,mfw
michaelkors,5,french,nyfw
annakikiworld,4,french,mfw
sportmax,4,french,mfw
vivettavivetta,3,french,mfw
moschino,812,italian,mfw
gucci,756,italian,mfw
versace,721,italian,mfw
prada,701,italian,mfw
missoni,673,italian,mfw
fendi,627,italian,mfw
armani,400,italian,nyfw
moncler,222,italian,mfw
albertaferretti,79,italian,mfw
coach,57,italian,nyfw
ferragamo,50,italian,mfw
emporioarmani,25,italian,mfw
ermannoscervino,25,italian,mfw
aliceandolivia,24,italian,nyfw
numeroventuno,20,italian,mfw
longchamp,19,italian,nyfw
proenzaschouler,15,italian,nyfw
