brand,count,lang,fw
gucci,160,french,mfw
moncler,157,french,mfw
prada,132,french,mfw
armani,124,french,nyfw
versace,107,french,mfw
coach,107,french,nyfw
moschino,812,italian,mfw
gucci,756,italian,mfw
versace,721,italian,mfw
prada,701,italian,mfw
missoni,673,italian,mfw
fendi,627,italian,mfw
moncler,202,japanese,mfw
longchamp,184,japanese,nyfw
gucci,141,japanese,mfw
prada,100,japanese,mfw
fendi,50,japanese,mfw
prabalgurung,792,korean,nyfw
gucci,687,korean,mfw
moncler,333,korean,mfw
coach,236,korean,nyfw
prada,186,korean,mfw
prada,1391,portuguese,mfw
missoni,415,portuguese,mfw
moschino,389,portuguese,mfw
versace,383,portuguese,mfw
fendi,361,portuguese,mfw
prada,667,spanish,mfw
gucci,330,spanish,mfw
coach,225,spanish,nyfw
versace,223,spanish,mfw
armani,181,spanish,nyfw
prada,18931,thai,mfw
coach,12146,thai,nyfw
moncler,555,thai,mfw
prabalgurung,386,thai,nyfw
gucci,276,thai,mfw
versace,47,thai,mfw
